sensor_id,deployment_id,site_id,sensorModel,current,projectSensorCluster,sensorConfiguration,start_date,end_date,utm_E,utm_N
9850211,1,PPW1301,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,526265,4270350
9850212,2,PPW1302,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525447,4269576
9850215,3,PPW1303,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,526143,4269065
9850219,4,PPW1304,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,525944,4269218
9850221,5,PPW1305,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,526058,4269630
9850224,6,PPW1306,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,526022,4270886
9850232,7,PPW1307,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,525888,4270668
10006336,8,PPW1308,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522747,4273140
10006337,9,PPW1309,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522830,4273334
10006338,10,PPW1310,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522783,4273545
10006339,11,PPW1311,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522491,4273327
10006340,12,PPW1312,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522503,4272837
10006342,13,PPW1313,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,522844,4272670
10006343,14,PPW1314,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,523238,4272549
10006344,15,PPW1315,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,524734,4271564
10006345,16,PPW1316,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524769,4271725
10006346,17,PPW1317,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,524778,4271596
10006347,18,PPW1318,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524608,4271846
10006348,19,PPW1319,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,1/20/14 12:00,NA,524509,4271779
10006349,20,PPW1320,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,6/21/13 13:00,NA,524372,4269329
10008093,21,PPW1321,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,6/21/13 11:30,NA,524739,4269591
10008094,22,PPW1322,HOBO_U23_PRO_V2,1,Ackerly_vegplots,,5/24/13 23:00,NA,525084,4269552
